town,year,group,total_crashes,fatal_crashes,injury_or_fatal_crashes
Andover,2015,Driver/Passenger,67,2,21
Andover,2015,Pedestrian/Cyclist/Other,1,0,0
Andover,2016,Driver/Passenger,43,1,13
Andover,2016,Pedestrian/Cyclist/Other,3,0,2
Andover,2017,Driver/Passenger,49,0,14
Andover,2018,Driver/Passenger,53,0,14
Andover,2019,Driver/Passenger,50,0,17
Andover,2020,Driver/Passenger,27,0,8
Andover,2021,Driver/Passenger,39,2,19
Andover,2021,Pedestrian/Cyclist/Other,1,1,1
Andover,2022,Driver/Passenger,39,0,12
Andover,2023,Driver/Passenger,36,1,16
Andover,2024,Driver/Passenger,47,0,13
Andover,2025,Driver/Passenger,43,0,13
Ansonia,2015,Driver/Passenger,406,0,96
Ansonia,2015,Pedestrian/Cyclist/Other,3,1,3
Ansonia,2016,Driver/Passenger,377,0,102
Ansonia,2016,Pedestrian/Cyclist/Other,9,0,7
Ansonia,2017,Driver/Passenger,368,0,90
Ansonia,2017,Pedestrian/Cyclist/Other,3,0,2
Ansonia,2018,Driver/Passenger,394,1,99
Ansonia,2018,Pedestrian/Cyclist/Other,10,0,10
Ansonia,2019,Driver/Passenger,351,0,82
Ansonia,2019,Pedestrian/Cyclist/Other,8,0,7
Ansonia,2020,Driver/Passenger,264,1,74
Ansonia,2020,Pedestrian/Cyclist/Other,6,0,6
Ansonia,2021,Driver/Passenger,338,0,89
Ansonia,2021,Pedestrian/Cyclist/Other,3,0,3
Ansonia,2022,Driver/Passenger,324,0,104
Ansonia,2022,Pedestrian/Cyclist/Other,3,0,3
Ansonia,2023,Driver/Passenger,314,0,83
Ansonia,2023,Pedestrian/Cyclist/Other,9,0,9
Ansonia,2024,Driver/Passenger,304,0,69
Ansonia,2024,Pedestrian/Cyclist/Other,8,0,6
Ansonia,2025,Driver/Passenger,346,1,92
Ansonia,2025,Pedestrian/Cyclist/Other,5,0,5
Ashford,2015,Driver/Passenger,48,1,12
Ashford,2016,Driver/Passenger,62,0,23
Ashford,2016,Pedestrian/Cyclist/Other,2,1,2
Ashford,2017,Driver/Passenger,64,1,13
Ashford,2018,Driver/Passenger,52,0,17
Ashford,2019,Driver/Passenger,82,0,28
Ashford,2019,Pedestrian/Cyclist/Other,2,0,2
Ashford,2020,Driver/Passenger,47,0,13
Ashford,2021,Driver/Passenger,68,2,11
Ashford,2022,Driver/Passenger,50,0,12
Ashford,2023,Driver/Passenger,76,0,24
Ashford,2024,Driver/Passenger,55,0,15
Ashford,2024,Pedestrian/Cyclist/Other,1,0,1
Ashford,2025,Driver/Passenger,72,1,18
Ashford,2025,Pedestrian/Cyclist/Other,1,0,0
Avon,2015,Driver/Passenger,378,0,80
Avon,2015,Pedestrian/Cyclist/Other,3,0,2
Avon,2016,Driver/Passenger,429,0,79
Avon,2016,Pedestrian/Cyclist/Other,3,0,2
Avon,2017,Driver/Passenger,438,1,89
Avon,2017,Pedestrian/Cyclist/Other,4,0,3
Avon,2018,Driver/Passenger,415,0,74
Avon,2018,Pedestrian/Cyclist/Other,7,0,5
Avon,2019,Driver/Passenger,389,1,70
Avon,2019,Pedestrian/Cyclist/Other,5,0,5
Avon,2020,Driver/Passenger,275,1,61
Avon,2020,Pedestrian/Cyclist/Other,4,1,4
Avon,2021,Driver/Passenger,311,0,56
Avon,2021,Pedestrian/Cyclist/Other,2,0,2
Avon,2022,Driver/Passenger,328,0,63
Avon,2022,Pedestrian/Cyclist/Other,2,1,2
Avon,2023,Driver/Passenger,355,0,68
Avon,2024,Driver/Passenger,339,2,64
Avon,2024,Pedestrian/Cyclist/Other,2,0,2
Avon,2025,Driver/Passenger,333,0,52
Avon,2025,Pedestrian/Cyclist/Other,2,0,2
Barkhamsted,2015,Driver/Passenger,86,1,20
Barkhamsted,2015,Pedestrian/Cyclist/Other,1,0,1
Barkhamsted,2016,Driver/Passenger,73,1,24
Barkhamsted,2017,Driver/Passenger,92,0,24
Barkhamsted,2018,Driver/Passenger,88,0,20
Barkhamsted,2019,Driver/Passenger,72,0,20
Barkhamsted,2020,Driver/Passenger,64,0,16
Barkhamsted,2021,Driver/Passenger,89,1,20
Barkhamsted,2022,Driver/Passenger,73,0,16
Barkhamsted,2023,Driver/Passenger,67,1,25
