town,year,crash_type,total_crashes,fatal_crashes,injury_or_fatal_crashes
Andover,2015,Pedestrian/vehicle,1,0,0
Andover,2015,Vehicle/vehicle,67,2,21
Andover,2016,Pedestrian/vehicle,3,0,2
Andover,2016,Vehicle/vehicle,43,1,13
Andover,2017,Vehicle/vehicle,49,0,14
Andover,2018,Vehicle/vehicle,53,0,14
Andover,2019,Vehicle/vehicle,50,0,17
Andover,2020,Vehicle/vehicle,27,0,8
Andover,2021,Pedestrian/vehicle,1,1,1
Andover,2021,Vehicle/vehicle,39,2,19
Andover,2022,Vehicle/vehicle,39,0,12
Andover,2023,Vehicle/vehicle,36,1,16
Andover,2024,Vehicle/vehicle,47,0,13
Andover,2025,Vehicle/vehicle,43,0,13
Ansonia,2015,Pedestrian/vehicle,3,1,3
Ansonia,2015,Vehicle/vehicle,406,0,96
Ansonia,2016,Cyclist/vehicle,2,0,1
Ansonia,2016,Pedestrian/vehicle,7,0,6
Ansonia,2016,Vehicle/vehicle,377,0,102
Ansonia,2017,Pedestrian/vehicle,3,0,2
Ansonia,2017,Vehicle/vehicle,368,0,90
Ansonia,2018,Cyclist/vehicle,1,0,1
Ansonia,2018,Pedestrian/vehicle,9,0,9
Ansonia,2018,Vehicle/vehicle,394,1,99
Ansonia,2019,Cyclist/vehicle,2,0,2
Ansonia,2019,Pedestrian/vehicle,6,0,5
Ansonia,2019,Vehicle/vehicle,351,0,82
Ansonia,2020,Cyclist/vehicle,2,0,2
Ansonia,2020,Pedestrian/vehicle,4,0,4
Ansonia,2020,Vehicle/vehicle,264,1,74
Ansonia,2021,Pedestrian/vehicle,3,0,3
Ansonia,2021,Vehicle/vehicle,338,0,89
Ansonia,2022,Cyclist/vehicle,1,0,1
Ansonia,2022,Pedestrian/vehicle,2,0,2
Ansonia,2022,Vehicle/vehicle,324,0,104
Ansonia,2023,Cyclist/vehicle,1,0,1
Ansonia,2023,Pedestrian/vehicle,8,0,8
Ansonia,2023,Vehicle/vehicle,314,0,83
Ansonia,2024,Pedestrian/vehicle,8,0,6
Ansonia,2024,Vehicle/vehicle,304,0,69
Ansonia,2025,Cyclist/vehicle,3,0,3
Ansonia,2025,Pedestrian/vehicle,2,0,2
Ansonia,2025,Vehicle/vehicle,346,1,92
Ashford,2015,Vehicle/vehicle,48,1,12
Ashford,2016,Pedestrian/vehicle,2,1,2
Ashford,2016,Vehicle/vehicle,62,0,23
Ashford,2017,Vehicle/vehicle,64,1,13
Ashford,2018,Vehicle/vehicle,52,0,17
Ashford,2019,Cyclist/vehicle,1,0,1
Ashford,2019,Pedestrian/vehicle,1,0,1
Ashford,2019,Vehicle/vehicle,82,0,28
Ashford,2020,Vehicle/vehicle,47,0,13
Ashford,2021,Vehicle/vehicle,68,2,11
Ashford,2022,Vehicle/vehicle,50,0,12
Ashford,2023,Vehicle/vehicle,76,0,24
Ashford,2024,Cyclist/vehicle,1,0,1
Ashford,2024,Vehicle/vehicle,55,0,15
Ashford,2025,Pedestrian/vehicle,1,0,0
Ashford,2025,Vehicle/vehicle,72,1,18
Avon,2015,Cyclist/vehicle,1,0,1
Avon,2015,Pedestrian/vehicle,2,0,1
Avon,2015,Vehicle/vehicle,378,0,80
Avon,2016,Cyclist/vehicle,1,0,0
Avon,2016,Pedestrian/vehicle,2,0,2
Avon,2016,Vehicle/vehicle,429,0,79
Avon,2017,Pedestrian/vehicle,4,0,3
Avon,2017,Vehicle/vehicle,438,1,89
Avon,2018,Cyclist/vehicle,1,0,1
Avon,2018,Pedestrian/vehicle,6,0,4
Avon,2018,Vehicle/vehicle,415,0,74
Avon,2019,Cyclist/vehicle,1,0,1
Avon,2019,Pedestrian/vehicle,4,0,4
Avon,2019,Vehicle/vehicle,389,1,70
Avon,2020,Cyclist/vehicle,1,0,1
Avon,2020,Pedestrian/vehicle,3,1,3
Avon,2020,Vehicle/vehicle,275,1,61
Avon,2021,Cyclist/vehicle,1,0,1
Avon,2021,Pedestrian/vehicle,1,0,1
Avon,2021,Vehicle/vehicle,311,0,56
Avon,2022,Pedestrian/vehicle,2,1,2
Avon,2022,Vehicle/vehicle,328,0,63
Avon,2023,Vehicle/vehicle,355,0,68
Avon,2024,Cyclist/vehicle,2,0,2
Avon,2024,Vehicle/vehicle,339,2,64
Avon,2025,Cyclist/vehicle,2,0,2
Avon,2025,Vehicle/vehicle,333,0,52
Barkhamsted,2015,Cyclist/vehicle,1,0,1
Barkhamsted,2015,Vehicle/vehicle,86,1,20
Barkhamsted,2016,Vehicle/vehicle,73,1,24
Barkhamsted,2017,Vehicle/vehicle,92,0,24
Barkhamsted,2018,Vehicle/vehicle,88,0,20
Barkhamsted,2019,Vehicle/vehicle,72,0,20
Barkhamsted,2020,Vehicle/vehicle,64,0,16
Barkhamsted,2021,Vehicle/vehicle,89,1,20
Barkhamsted,2022,Vehicle/vehicle,73,0,16
Barkhamsted,2023,Pedestrian/vehicle,1,0,1
Barkhamsted,2023,Vehicle/vehicle,67,1,25
Barkhamsted,2024,Vehicle/vehicle,74,0,13
Barkhamsted,2025,Pedestrian/vehicle,1,0,0
Barkhamsted,2025,Vehicle/vehicle,79,0,26
Beacon Falls,2015,Pedestrian/vehicle,1,0,1
Beacon Falls,2015,Vehicle/vehicle,122,0,36
Beacon Falls,2016,Vehicle/vehicle,97,0,31
Beacon Falls,2017,Pedestrian/vehicle,1,0,1
Beacon Falls,2017,Vehicle/vehicle,128,0,28
Beacon Falls,2018,Cyclist/vehicle,2,0,2
Beacon Falls,2018,Vehicle/vehicle,113,0,28
Beacon Falls,2019,Vehicle/vehicle,112,0,25
Beacon Falls,2020,Vehicle/vehicle,119,1,32
Beacon Falls,2021,Vehicle/vehicle,119,2,27
Beacon Falls,2022,Pedestrian/vehicle,1,0,1
Beacon Falls,2022,Vehicle/vehicle,136,0,24
Beacon Falls,2023,Pedestrian/vehicle,1,0,1
Beacon Falls,2023,Vehicle/vehicle,134,0,32
Beacon Falls,2024,Pedestrian/vehicle,3,0,3
Beacon Falls,2024,Vehicle/vehicle,133,1,38
Beacon Falls,2025,Cyclist/vehicle,1,0,1
