town,year,crash_type,total_crashes,fatal_crashes,injury_or_fatal_crashes
Andover,2010,Vehicle/vehicle,62,1,13
Andover,2011,Vehicle/vehicle,53,0,13
Andover,2012,Vehicle/vehicle,44,0,14
Andover,2013,Cyclist/vehicle,1,0,0
Andover,2013,Vehicle/vehicle,57,0,14
Andover,2014,Vehicle/vehicle,49,1,11
Ansonia,2010,Pedestrian/vehicle,4,0,2
Ansonia,2010,Vehicle/vehicle,316,0,99
Ansonia,2011,Cyclist/vehicle,1,0,1
Ansonia,2011,Pedestrian/vehicle,3,0,3
Ansonia,2011,Vehicle/vehicle,162,0,54
Ansonia,2012,Cyclist/vehicle,5,0,5
Ansonia,2012,Pedestrian/vehicle,4,0,4
Ansonia,2012,Vehicle/vehicle,307,0,75
Ansonia,2013,Pedestrian/vehicle,5,0,5
Ansonia,2013,Vehicle/vehicle,363,0,81
Ansonia,2014,Vehicle/vehicle,282,0,74
Ashford,2010,Vehicle/vehicle,69,0,20
Ashford,2011,Vehicle/vehicle,61,1,16
Ashford,2012,Vehicle/vehicle,75,0,25
Ashford,2013,Vehicle/vehicle,53,0,16
Ashford,2014,Vehicle/vehicle,53,0,8
Avon,2010,Cyclist/vehicle,1,0,1
Avon,2010,Pedestrian/vehicle,1,0,1
Avon,2010,Vehicle/vehicle,344,0,78
Avon,2011,Cyclist/vehicle,5,0,5
Avon,2011,Vehicle/vehicle,303,0,68
Avon,2012,Cyclist/vehicle,1,0,1
Avon,2012,Vehicle/vehicle,327,0,62
Avon,2013,Cyclist/vehicle,3,0,3
Avon,2013,Pedestrian/vehicle,3,0,3
Avon,2013,Vehicle/vehicle,317,1,66
Avon,2014,Cyclist/vehicle,1,0,0
Avon,2014,Vehicle/vehicle,186,0,36
Barkhamsted,2010,Vehicle/vehicle,77,1,20
Barkhamsted,2011,Vehicle/vehicle,95,1,34
Barkhamsted,2012,Vehicle/vehicle,79,1,23
Barkhamsted,2013,Vehicle/vehicle,64,0,8
Barkhamsted,2014,Vehicle/vehicle,76,1,20
Beacon Falls,2010,Pedestrian/vehicle,1,0,1
Beacon Falls,2010,Vehicle/vehicle,105,1,27
Beacon Falls,2011,Vehicle/vehicle,97,0,27
Beacon Falls,2012,Pedestrian/vehicle,1,0,1
Beacon Falls,2012,Vehicle/vehicle,91,1,22
Beacon Falls,2013,Cyclist/vehicle,1,0,1
Beacon Falls,2013,Pedestrian/vehicle,1,0,1
