town,year,group,deaths
Andover,2015,Driver/Passenger,2
Andover,2016,Driver/Passenger,1
Andover,2021,Driver/Passenger,2
Andover,2021,Pedestrian/Cyclist/Other,1
Andover,2023,Driver/Passenger,1
Ansonia,2015,Pedestrian/Cyclist/Other,1
Ansonia,2018,Driver/Passenger,1
Ansonia,2020,Driver/Passenger,1
Ansonia,2025,Driver/Passenger,1
Ashford,2015,Driver/Passenger,1
Ashford,2016,Pedestrian/Cyclist/Other,1
Ashford,2017,Driver/Passenger,1
Ashford,2021,Driver/Passenger,2
Ashford,2025,Driver/Passenger,1
Avon,2017,Driver/Passenger,1
Avon,2019,Driver/Passenger,1
Avon,2020,Driver/Passenger,1
Avon,2020,Pedestrian/Cyclist/Other,1
Avon,2022,Pedestrian/Cyclist/Other,1
Avon,2024,Driver/Passenger,2
Barkhamsted,2015,Driver/Passenger,1
Barkhamsted,2016,Driver/Passenger,1
Barkhamsted,2021,Driver/Passenger,1
Barkhamsted,2023,Driver/Passenger,1
Beacon Falls,2020,Driver/Passenger,1
Beacon Falls,2021,Driver/Passenger,2
Beacon Falls,2024,Driver/Passenger,3
Beacon Falls,2025,Driver/Passenger,2
Berlin,2015,Driver/Passenger,1
Berlin,2015,Pedestrian/Cyclist/Other,1
Berlin,2016,Driver/Passenger,1
Berlin,2017,Driver/Passenger,2
Berlin,2019,Pedestrian/Cyclist/Other,2
Berlin,2021,Driver/Passenger,6
Berlin,2022,Driver/Passenger,2
Berlin,2022,Pedestrian/Cyclist/Other,1
Berlin,2023,Driver/Passenger,3
Berlin,2023,Pedestrian/Cyclist/Other,1
Berlin,2024,Driver/Passenger,3
Berlin,2024,Pedestrian/Cyclist/Other,1
Berlin,2025,Driver/Passenger,1
Bethany,2015,Driver/Passenger,1
Bethany,2015,Pedestrian/Cyclist/Other,1
Bethany,2017,Driver/Passenger,2
Bethany,2018,Driver/Passenger,1
Bethany,2018,Pedestrian/Cyclist/Other,1
Bethany,2019,Pedestrian/Cyclist/Other,1
Bethany,2021,Driver/Passenger,3
Bethany,2021,Pedestrian/Cyclist/Other,1
Bethany,2023,Driver/Passenger,2
Bethel,2016,Driver/Passenger,1
Bethel,2018,Pedestrian/Cyclist/Other,1
Bethel,2020,Driver/Passenger,1
Bethel,2022,Pedestrian/Cyclist/Other,1
Bethel,2025,Pedestrian/Cyclist/Other,1
Bethlehem,2015,Driver/Passenger,1
Bethlehem,2019,Driver/Passenger,2
Bloomfield,2015,Driver/Passenger,3
Bloomfield,2016,Driver/Passenger,3
Bloomfield,2017,Driver/Passenger,1
Bloomfield,2017,Pedestrian/Cyclist/Other,1
Bloomfield,2018,Driver/Passenger,1
Bloomfield,2019,Driver/Passenger,2
Bloomfield,2020,Driver/Passenger,1
Bloomfield,2021,Driver/Passenger,1
Bloomfield,2022,Driver/Passenger,1
Bloomfield,2023,Driver/Passenger,2
Bloomfield,2023,Pedestrian/Cyclist/Other,1
Bloomfield,2024,Driver/Passenger,1
Bloomfield,2025,Pedestrian/Cyclist/Other,1
Bolton,2015,Driver/Passenger,1
Bolton,2016,Driver/Passenger,1
Bolton,2018,Driver/Passenger,3
Bolton,2020,Driver/Passenger,1
Bolton,2021,Driver/Passenger,1
Bolton,2024,Driver/Passenger,1
Bozrah,2015,Driver/Passenger,1
Bozrah,2024,Driver/Passenger,2
Branford,2015,Driver/Passenger,3
Branford,2016,Driver/Passenger,2
Branford,2017,Driver/Passenger,1
Branford,2018,Driver/Passenger,1
Branford,2020,Driver/Passenger,1
Branford,2022,Driver/Passenger,4
Branford,2022,Pedestrian/Cyclist/Other,1
Branford,2024,Driver/Passenger,3
Branford,2025,Driver/Passenger,1
Branford,2025,Pedestrian/Cyclist/Other,1
Bridgeport,2015,Driver/Passenger,1
Bridgeport,2015,Pedestrian/Cyclist/Other,1
Bridgeport,2016,Driver/Passenger,9
Bridgeport,2016,Pedestrian/Cyclist/Other,6
Bridgeport,2017,Driver/Passenger,4
Bridgeport,2017,Pedestrian/Cyclist/Other,6
Bridgeport,2018,Driver/Passenger,7
Bridgeport,2018,Pedestrian/Cyclist/Other,4
Bridgeport,2019,Pedestrian/Cyclist/Other,3
Bridgeport,2020,Driver/Passenger,14
Bridgeport,2020,Pedestrian/Cyclist/Other,3
Bridgeport,2021,Driver/Passenger,5
Bridgeport,2021,Pedestrian/Cyclist/Other,2
Bridgeport,2022,Driver/Passenger,8
Bridgeport,2022,Pedestrian/Cyclist/Other,4
Bridgeport,2023,Driver/Passenger,6
Bridgeport,2023,Pedestrian/Cyclist/Other,2
Bridgeport,2024,Driver/Passenger,9
Bridgeport,2024,Other/Unknown,1
Bridgeport,2024,Pedestrian/Cyclist/Other,5
Bridgeport,2025,Driver/Passenger,7
Bridgeport,2025,Pedestrian/Cyclist/Other,2
Bridgewater,2016,Driver/Passenger,1
Bridgewater,2022,Driver/Passenger,1
Bristol,2015,Driver/Passenger,6
Bristol,2016,Driver/Passenger,3
Bristol,2016,Pedestrian/Cyclist/Other,2
Bristol,2017,Driver/Passenger,4
Bristol,2017,Pedestrian/Cyclist/Other,2
Bristol,2018,Driver/Passenger,2
Bristol,2018,Pedestrian/Cyclist/Other,2
Bristol,2019,Driver/Passenger,2
Bristol,2019,Pedestrian/Cyclist/Other,1
Bristol,2020,Driver/Passenger,1
Bristol,2020,Pedestrian/Cyclist/Other,1
Bristol,2021,Driver/Passenger,2
Bristol,2021,Pedestrian/Cyclist/Other,1
Bristol,2022,Driver/Passenger,4
Bristol,2022,Pedestrian/Cyclist/Other,3
Bristol,2023,Driver/Passenger,5
Bristol,2024,Driver/Passenger,3
Bristol,2024,Pedestrian/Cyclist/Other,5
Bristol,2025,Driver/Passenger,7
Brookfield,2015,Driver/Passenger,1
Brookfield,2016,Driver/Passenger,1
Brookfield,2017,Driver/Passenger,1
Brookfield,2017,Pedestrian/Cyclist/Other,1
Brookfield,2018,Pedestrian/Cyclist/Other,1
Brookfield,2019,Driver/Passenger,1
Brookfield,2019,Pedestrian/Cyclist/Other,1
Brookfield,2020,Driver/Passenger,1
Brookfield,2024,Driver/Passenger,1
Brooklyn,2015,Driver/Passenger,2
Brooklyn,2015,Pedestrian/Cyclist/Other,1
Brooklyn,2016,Driver/Passenger,2
Brooklyn,2016,Pedestrian/Cyclist/Other,1
Brooklyn,2018,Driver/Passenger,3
Brooklyn,2019,Driver/Passenger,4
Brooklyn,2019,Pedestrian/Cyclist/Other,1
Brooklyn,2021,Driver/Passenger,1
Brooklyn,2022,Driver/Passenger,4
Brooklyn,2023,Driver/Passenger,2
Brooklyn,2024,Driver/Passenger,1
Brooklyn,2025,Driver/Passenger,1
Burlington,2015,Driver/Passenger,1
Burlington,2018,Driver/Passenger,1
Burlington,2019,Driver/Passenger,2
Burlington,2020,Driver/Passenger,1
Burlington,2022,Driver/Passenger,1
Burlington,2023,Driver/Passenger,2
Burlington,2024,Driver/Passenger,3
Canaan,2015,Driver/Passenger,1
Canaan,2016,Driver/Passenger,1
Canaan,2018,Driver/Passenger,1
Canaan,2023,Driver/Passenger,2
Canterbury,2015,Pedestrian/Cyclist/Other,1
Canterbury,2018,Driver/Passenger,1
Canterbury,2019,Driver/Passenger,3
Canterbury,2020,Driver/Passenger,1
Canterbury,2021,Driver/Passenger,1
Canterbury,2022,Driver/Passenger,1
Canterbury,2023,Driver/Passenger,1
Canterbury,2024,Driver/Passenger,1
Canton,2017,Driver/Passenger,5
Canton,2018,Pedestrian/Cyclist/Other,1
Canton,2019,Driver/Passenger,2
Canton,2021,Driver/Passenger,1
Chaplin,2017,Driver/Passenger,2
Chaplin,2018,Driver/Passenger,1
Chaplin,2020,Driver/Passenger,1
Chaplin,2022,Driver/Passenger,4
Chaplin,2023,Driver/Passenger,1
Chaplin,2024,Driver/Passenger,1
Chaplin,2025,Driver/Passenger,1
Cheshire,2015,Driver/Passenger,3
Cheshire,2015,Pedestrian/Cyclist/Other,1
Cheshire,2017,Driver/Passenger,3
Cheshire,2018,Driver/Passenger,1
Cheshire,2019,Driver/Passenger,1
Cheshire,2020,Driver/Passenger,2
Cheshire,2020,Pedestrian/Cyclist/Other,1
Cheshire,2021,Driver/Passenger,1
Cheshire,2022,Driver/Passenger,4
Cheshire,2022,Other/Unknown,1
Cheshire,2023,Driver/Passenger,1
Cheshire,2024,Driver/Passenger,2
Cheshire,2025,Driver/Passenger,1
Chester,2015,Driver/Passenger,1
Chester,2016,Driver/Passenger,1
Chester,2019,Driver/Passenger,1
Chester,2023,Driver/Passenger,1
Chester,2024,Driver/Passenger,1
Clinton,2016,Driver/Passenger,1
Clinton,2017,Driver/Passenger,1
Clinton,2017,Pedestrian/Cyclist/Other,1
Clinton,2020,Driver/Passenger,4
Clinton,2021,Driver/Passenger,1
Colchester,2016,Driver/Passenger,1
Colchester,2017,Driver/Passenger,2
Colchester,2018,Driver/Passenger,3
Colchester,2019,Driver/Passenger,5
Colchester,2020,Driver/Passenger,1
Colchester,2021,Driver/Passenger,3
Colchester,2022,Driver/Passenger,4
Colchester,2023,Driver/Passenger,1
Colchester,2024,Driver/Passenger,1
Colchester,2025,Driver/Passenger,2
Colchester,2025,Pedestrian/Cyclist/Other,1
Columbia,2015,Driver/Passenger,2
Columbia,2016,Driver/Passenger,1
Columbia,2017,Driver/Passenger,1
