geography,year,Driver/Passenger__total_crashes,Pedestrian/Cyclist/Other__total_crashes,Driver/Passenger__fatal_crashes,Pedestrian/Cyclist/Other__fatal_crashes,Driver/Passenger__injury_or_fatal_crashes,Pedestrian/Cyclist/Other__injury_or_fatal_crashes
Bridgeport,2015,5364,171,1,1,1233,157
Bridgeport,2016,6546,231,8,6,1678,192
Bridgeport,2017,6394,241,3,7,1585,204
Bridgeport,2018,6090,186,7,4,1630,168
Bridgeport,2019,6139,185,0,3,1642,166
Bridgeport,2020,5075,120,13,3,1359,111
Bridgeport,2021,5858,120,4,3,1595,108
Bridgeport,2022,5577,154,7,4,1563,143
Bridgeport,2023,5328,129,4,3,1474,117
Bridgeport,2024,5413,176,7,5,1471,155
Bridgeport,2025,5374,165,7,2,1355,140
Connecticut (statewide),2015,109259,1910,203,50,24408,1667
Connecticut (statewide),2016,113699,2236,223,74,26140,1906
Connecticut (statewide),2017,113499,2149,207,57,25751,1817
Connecticut (statewide),2018,112199,1957,217,64,25718,1683
Connecticut (statewide),2019,110511,2100,181,57,25553,1812
Connecticut (statewide),2020,82201,1590,218,67,20181,1370
Connecticut (statewide),2021,99593,1566,238,56,23689,1380
Connecticut (statewide),2022,101088,1714,261,77,23769,1532
Connecticut (statewide),2023,98704,1733,231,59,23119,1498
Connecticut (statewide),2024,102262,1998,226,65,22900,1718
Connecticut (statewide),2025,101598,1836,172,60,22092,1583
Hartford,2015,6580,186,5,4,1592,167
Hartford,2016,7401,235,8,2,1862,217
Hartford,2017,6795,209,9,1,1657,193
Hartford,2018,6795,193,12,9,1693,176
Hartford,2019,6924,203,12,3,1642,186
Hartford,2020,5374,151,13,4,1510,136
Hartford,2021,5343,99,12,5,1445,95
Hartford,2022,5227,115,8,7,1391,106
Hartford,2023,5368,146,5,6,1439,130
Hartford,2024,5915,191,9,7,1398,163
Hartford,2025,6233,189,10,5,1428,164
New Haven,2015,6298,165,7,0,1401,141
New Haven,2016,6106,212,12,3,1519,189
New Haven,2017,5917,254,8,3,1625,215
New Haven,2018,7147,222,16,3,1820,191
New Haven,2019,7269,287,9,8,1858,254
New Haven,2020,5545,194,6,11,1471,173
New Haven,2021,6600,181,12,11,1621,159
New Haven,2022,6737,210,13,5,1573,189
New Haven,2023,6617,202,8,7,1477,179
New Haven,2024,6406,213,9,5,1413,178
New Haven,2025,6604,193,5,6,1261,168
Stamford,2015,5248,124,1,2,870,114
Stamford,2016,5305,143,1,4,869,137
Stamford,2017,4613,106,6,2,705,97
Stamford,2018,5061,108,4,2,809,102
Stamford,2019,4580,115,1,1,845,105
Stamford,2020,3331,97,1,2,589,87
Stamford,2021,4008,119,3,0,731,112
Stamford,2022,4074,121,5,4,731,115
Stamford,2023,3833,119,5,4,723,102
Stamford,2024,3855,110,5,1,715,100
Stamford,2025,3792,122,0,1,731,118
Waterbury,2015,5067,114,12,4,1250,99
Waterbury,2016,5552,112,9,3,1428,99
Waterbury,2017,5928,133,10,6,1500,114
Waterbury,2018,5999,129,6,3,1471,114
Waterbury,2019,5706,151,8,4,1409,135
Waterbury,2020,4724,113,6,6,1273,93
Waterbury,2021,5179,112,6,1,1408,98
Waterbury,2022,4806,111,15,6,1342,97
Waterbury,2023,4630,96,12,3,1211,82
Waterbury,2024,4401,135,10,6,1127,117
Waterbury,2025,4439,101,6,1,1068,88
