geography,year,group,total_crashes,fatal_crashes,injury_or_fatal_crashes
Bridgeport,2015,Driver/Passenger,5364,1,1233
Bridgeport,2016,Driver/Passenger,6546,8,1678
Bridgeport,2017,Driver/Passenger,6394,3,1585
Bridgeport,2018,Driver/Passenger,6090,7,1630
Bridgeport,2019,Driver/Passenger,6139,0,1642
Bridgeport,2020,Driver/Passenger,5075,13,1359
Bridgeport,2021,Driver/Passenger,5858,4,1595
Bridgeport,2022,Driver/Passenger,5577,7,1563
Bridgeport,2023,Driver/Passenger,5328,4,1474
Bridgeport,2024,Driver/Passenger,5413,7,1471
Bridgeport,2025,Driver/Passenger,5374,7,1355
Bridgeport,2015,Pedestrian/Cyclist/Other,171,1,157
Bridgeport,2016,Pedestrian/Cyclist/Other,231,6,192
Bridgeport,2017,Pedestrian/Cyclist/Other,241,7,204
Bridgeport,2018,Pedestrian/Cyclist/Other,186,4,168
Bridgeport,2019,Pedestrian/Cyclist/Other,185,3,166
Bridgeport,2020,Pedestrian/Cyclist/Other,120,3,111
Bridgeport,2021,Pedestrian/Cyclist/Other,120,3,108
Bridgeport,2022,Pedestrian/Cyclist/Other,154,4,143
Bridgeport,2023,Pedestrian/Cyclist/Other,129,3,117
Bridgeport,2024,Pedestrian/Cyclist/Other,176,5,155
Bridgeport,2025,Pedestrian/Cyclist/Other,165,2,140
Connecticut (statewide),2015,Driver/Passenger,109259,203,24408
Connecticut (statewide),2016,Driver/Passenger,113699,223,26140
Connecticut (statewide),2017,Driver/Passenger,113499,207,25751
Connecticut (statewide),2018,Driver/Passenger,112199,217,25718
Connecticut (statewide),2019,Driver/Passenger,110511,181,25553
Connecticut (statewide),2020,Driver/Passenger,82201,218,20181
Connecticut (statewide),2021,Driver/Passenger,99593,238,23689
Connecticut (statewide),2022,Driver/Passenger,101088,261,23769
Connecticut (statewide),2023,Driver/Passenger,98704,231,23119
Connecticut (statewide),2024,Driver/Passenger,102262,226,22900
Connecticut (statewide),2025,Driver/Passenger,101598,172,22092
Connecticut (statewide),2015,Pedestrian/Cyclist/Other,1910,50,1667
Connecticut (statewide),2016,Pedestrian/Cyclist/Other,2236,74,1906
Connecticut (statewide),2017,Pedestrian/Cyclist/Other,2149,57,1817
Connecticut (statewide),2018,Pedestrian/Cyclist/Other,1957,64,1683
Connecticut (statewide),2019,Pedestrian/Cyclist/Other,2100,57,1812
Connecticut (statewide),2020,Pedestrian/Cyclist/Other,1590,67,1370
Connecticut (statewide),2021,Pedestrian/Cyclist/Other,1566,56,1380
Connecticut (statewide),2022,Pedestrian/Cyclist/Other,1714,77,1532
Connecticut (statewide),2023,Pedestrian/Cyclist/Other,1733,59,1498
Connecticut (statewide),2024,Pedestrian/Cyclist/Other,1998,65,1718
Connecticut (statewide),2025,Pedestrian/Cyclist/Other,1836,60,1583
Five largest cities,2015,Driver/Passenger,28557,26,6346
Five largest cities,2016,Driver/Passenger,30910,38,7356
Five largest cities,2017,Driver/Passenger,29647,36,7072
Five largest cities,2018,Driver/Passenger,31092,45,7423
Five largest cities,2019,Driver/Passenger,30618,30,7396
Five largest cities,2020,Driver/Passenger,24049,39,6202
Five largest cities,2021,Driver/Passenger,26988,37,6800
Five largest cities,2022,Driver/Passenger,26421,48,6600
Five largest cities,2023,Driver/Passenger,25776,34,6324
Five largest cities,2024,Driver/Passenger,25990,40,6124
Five largest cities,2025,Driver/Passenger,26442,28,5843
Five largest cities,2015,Pedestrian/Cyclist/Other,760,11,678
Five largest cities,2016,Pedestrian/Cyclist/Other,933,18,834
Five largest cities,2017,Pedestrian/Cyclist/Other,943,19,823
Five largest cities,2018,Pedestrian/Cyclist/Other,838,21,751
Five largest cities,2019,Pedestrian/Cyclist/Other,941,19,846
Five largest cities,2020,Pedestrian/Cyclist/Other,675,26,600
Five largest cities,2021,Pedestrian/Cyclist/Other,631,20,572
Five largest cities,2022,Pedestrian/Cyclist/Other,711,26,650
Five largest cities,2023,Pedestrian/Cyclist/Other,692,23,610
Five largest cities,2024,Pedestrian/Cyclist/Other,825,24,713
Five largest cities,2025,Pedestrian/Cyclist/Other,770,15,678
Hartford,2015,Driver/Passenger,6580,5,1592
Hartford,2016,Driver/Passenger,7401,8,1862
Hartford,2017,Driver/Passenger,6795,9,1657
Hartford,2018,Driver/Passenger,6795,12,1693
Hartford,2019,Driver/Passenger,6924,12,1642
Hartford,2020,Driver/Passenger,5374,13,1510
Hartford,2021,Driver/Passenger,5343,12,1445
Hartford,2022,Driver/Passenger,5227,8,1391
Hartford,2023,Driver/Passenger,5368,5,1439
Hartford,2024,Driver/Passenger,5915,9,1398
Hartford,2025,Driver/Passenger,6233,10,1428
Hartford,2015,Pedestrian/Cyclist/Other,186,4,167
Hartford,2016,Pedestrian/Cyclist/Other,235,2,217
Hartford,2017,Pedestrian/Cyclist/Other,209,1,193
Hartford,2018,Pedestrian/Cyclist/Other,193,9,176
Hartford,2019,Pedestrian/Cyclist/Other,203,3,186
Hartford,2020,Pedestrian/Cyclist/Other,151,4,136
Hartford,2021,Pedestrian/Cyclist/Other,99,5,95
Hartford,2022,Pedestrian/Cyclist/Other,115,7,106
Hartford,2023,Pedestrian/Cyclist/Other,146,6,130
Hartford,2024,Pedestrian/Cyclist/Other,191,7,163
Hartford,2025,Pedestrian/Cyclist/Other,189,5,164
New Haven,2015,Driver/Passenger,6298,7,1401
New Haven,2016,Driver/Passenger,6106,12,1519
New Haven,2017,Driver/Passenger,5917,8,1625
New Haven,2018,Driver/Passenger,7147,16,1820
New Haven,2019,Driver/Passenger,7269,9,1858
New Haven,2020,Driver/Passenger,5545,6,1471
New Haven,2021,Driver/Passenger,6600,12,1621
New Haven,2022,Driver/Passenger,6737,13,1573
New Haven,2023,Driver/Passenger,6617,8,1477
New Haven,2024,Driver/Passenger,6406,9,1413
New Haven,2025,Driver/Passenger,6604,5,1261
New Haven,2015,Pedestrian/Cyclist/Other,165,0,141
New Haven,2016,Pedestrian/Cyclist/Other,212,3,189
