geography,year,group,population,metric,count,rate_per_100k
Bridgeport,2015,Driver/Passenger,148654,Total crashes,5364,3608.3791892582776
Bridgeport,2015,Driver/Passenger,148654,Injury or fatal crashes,1233,829.4428673295034
Bridgeport,2015,Driver/Passenger,148654,Fatal crashes,1,0.6727030554172777
Bridgeport,2016,Driver/Passenger,148654,Total crashes,6546,4403.5142007614995
Bridgeport,2016,Driver/Passenger,148654,Injury or fatal crashes,1678,1128.795726990192
Bridgeport,2016,Driver/Passenger,148654,Fatal crashes,8,5.381624443338222
Bridgeport,2017,Driver/Passenger,148654,Total crashes,6394,4301.263336338074
Bridgeport,2017,Driver/Passenger,148654,Injury or fatal crashes,1585,1066.2343428363852
Bridgeport,2017,Driver/Passenger,148654,Fatal crashes,3,2.018109166251833
Bridgeport,2018,Driver/Passenger,148654,Total crashes,6090,4096.761607491221
Bridgeport,2018,Driver/Passenger,148654,Injury or fatal crashes,1630,1096.5059803301626
Bridgeport,2018,Driver/Passenger,148654,Fatal crashes,7,4.7089213879209435
Bridgeport,2019,Driver/Passenger,148654,Total crashes,6139,4129.724057206668
Bridgeport,2019,Driver/Passenger,148654,Injury or fatal crashes,1642,1104.57841699517
Bridgeport,2019,Driver/Passenger,148654,Fatal crashes,0,0
Bridgeport,2020,Driver/Passenger,148654,Total crashes,5075,3413.968006242684
Bridgeport,2020,Driver/Passenger,148654,Injury or fatal crashes,1359,914.2034523120803
Bridgeport,2020,Driver/Passenger,148654,Fatal crashes,13,8.74513972042461
Bridgeport,2021,Driver/Passenger,148654,Total crashes,5858,3940.694498634413
Bridgeport,2021,Driver/Passenger,148654,Injury or fatal crashes,1595,1072.961373390558
Bridgeport,2021,Driver/Passenger,148654,Fatal crashes,4,2.690812221669111
Bridgeport,2022,Driver/Passenger,148654,Total crashes,5577,3751.6649400621577
Bridgeport,2022,Driver/Passenger,148654,Injury or fatal crashes,1563,1051.434875617205
Bridgeport,2022,Driver/Passenger,148654,Fatal crashes,7,4.7089213879209435
Bridgeport,2023,Driver/Passenger,148654,Total crashes,5328,3584.1618792632557
Bridgeport,2023,Driver/Passenger,148654,Injury or fatal crashes,1474,991.5643036850673
Bridgeport,2023,Driver/Passenger,148654,Fatal crashes,4,2.690812221669111
Bridgeport,2024,Driver/Passenger,148654,Total crashes,5413,3641.341638973724
Bridgeport,2024,Driver/Passenger,148654,Injury or fatal crashes,1471,989.5461945188155
Bridgeport,2024,Driver/Passenger,148654,Fatal crashes,7,4.7089213879209435
Bridgeport,2025,Driver/Passenger,148654,Total crashes,5374,3615.10621981245
Bridgeport,2025,Driver/Passenger,148654,Injury or fatal crashes,1355,911.5126400904113
Bridgeport,2025,Driver/Passenger,148654,Fatal crashes,7,4.7089213879209435
Bridgeport,2015,Pedestrian/Cyclist/Other,148654,Total crashes,171,115.03222247635449
Bridgeport,2015,Pedestrian/Cyclist/Other,148654,Injury or fatal crashes,157,105.6143797005126
Bridgeport,2015,Pedestrian/Cyclist/Other,148654,Fatal crashes,1,0.6727030554172777
Bridgeport,2016,Pedestrian/Cyclist/Other,148654,Total crashes,231,155.39440580139114
Bridgeport,2016,Pedestrian/Cyclist/Other,148654,Injury or fatal crashes,192,129.15898664011732
Bridgeport,2016,Pedestrian/Cyclist/Other,148654,Fatal crashes,6,4.036218332503666
Bridgeport,2017,Pedestrian/Cyclist/Other,148654,Total crashes,241,162.12143635556393
Bridgeport,2017,Pedestrian/Cyclist/Other,148654,Injury or fatal crashes,204,137.23142330512465
Bridgeport,2017,Pedestrian/Cyclist/Other,148654,Fatal crashes,7,4.7089213879209435
Bridgeport,2018,Pedestrian/Cyclist/Other,148654,Total crashes,186,125.12276830761365
Bridgeport,2018,Pedestrian/Cyclist/Other,148654,Injury or fatal crashes,168,113.01411331010266
Bridgeport,2018,Pedestrian/Cyclist/Other,148654,Fatal crashes,4,2.690812221669111
Bridgeport,2019,Pedestrian/Cyclist/Other,148654,Total crashes,185,124.45006525219637
Bridgeport,2019,Pedestrian/Cyclist/Other,148654,Injury or fatal crashes,166,111.6687071992681
Bridgeport,2019,Pedestrian/Cyclist/Other,148654,Fatal crashes,3,2.018109166251833
Bridgeport,2020,Pedestrian/Cyclist/Other,148654,Total crashes,120,80.72436665007332
Bridgeport,2020,Pedestrian/Cyclist/Other,148654,Injury or fatal crashes,111,74.67003915131782
Bridgeport,2020,Pedestrian/Cyclist/Other,148654,Fatal crashes,3,2.018109166251833
Bridgeport,2021,Pedestrian/Cyclist/Other,148654,Total crashes,120,80.72436665007332
Bridgeport,2021,Pedestrian/Cyclist/Other,148654,Injury or fatal crashes,108,72.65192998506599
Bridgeport,2021,Pedestrian/Cyclist/Other,148654,Fatal crashes,3,2.018109166251833
Bridgeport,2022,Pedestrian/Cyclist/Other,148654,Total crashes,154,103.59627053426078
Bridgeport,2022,Pedestrian/Cyclist/Other,148654,Injury or fatal crashes,143,96.19653692467071
Bridgeport,2022,Pedestrian/Cyclist/Other,148654,Fatal crashes,4,2.690812221669111
Bridgeport,2023,Pedestrian/Cyclist/Other,148654,Total crashes,129,86.77869414882882
Bridgeport,2023,Pedestrian/Cyclist/Other,148654,Injury or fatal crashes,117,78.70625748382149
Bridgeport,2023,Pedestrian/Cyclist/Other,148654,Fatal crashes,3,2.018109166251833
Bridgeport,2024,Pedestrian/Cyclist/Other,148654,Total crashes,176,118.39573775344087
Bridgeport,2024,Pedestrian/Cyclist/Other,148654,Injury or fatal crashes,155,104.26897358967804
Bridgeport,2024,Pedestrian/Cyclist/Other,148654,Fatal crashes,5,3.3635152770863885
Bridgeport,2025,Pedestrian/Cyclist/Other,148654,Total crashes,165,110.99600414385081
Bridgeport,2025,Pedestrian/Cyclist/Other,148654,Injury or fatal crashes,140,94.17842775841888
Bridgeport,2025,Pedestrian/Cyclist/Other,148654,Fatal crashes,2,1.3454061108345554
Connecticut (statewide),2015,Driver/Passenger,3605944,Total crashes,109259,3029.9694060695338
Connecticut (statewide),2015,Driver/Passenger,3605944,Injury or fatal crashes,24408,676.8823919617165
Connecticut (statewide),2015,Driver/Passenger,3605944,Fatal crashes,203,5.629593804008049
Connecticut (statewide),2016,Driver/Passenger,3605944,Total crashes,113699,3153.099438038971
Connecticut (statewide),2016,Driver/Passenger,3605944,Injury or fatal crashes,26140,724.9141972254699
Connecticut (statewide),2016,Driver/Passenger,3605944,Fatal crashes,223,6.1842335876541625
Connecticut (statewide),2017,Driver/Passenger,3605944,Total crashes,113499,3147.55304020251
Connecticut (statewide),2017,Driver/Passenger,3605944,Injury or fatal crashes,25751,714.126453433553
Connecticut (statewide),2017,Driver/Passenger,3605944,Fatal crashes,207,5.740521760737272
Connecticut (statewide),2018,Driver/Passenger,3605944,Total crashes,112199,3111.5014542655126
Connecticut (statewide),2018,Driver/Passenger,3605944,Injury or fatal crashes,25718,713.211297790537
Connecticut (statewide),2018,Driver/Passenger,3605944,Fatal crashes,217,6.017841652560328
Connecticut (statewide),2019,Driver/Passenger,3605944,Total crashes,110511,3064.6898565257807
Connecticut (statewide),2019,Driver/Passenger,3605944,Injury or fatal crashes,25553,708.6355195754566
Connecticut (statewide),2019,Driver/Passenger,3605944,Fatal crashes,181,5.019490041997324
Connecticut (statewide),2020,Driver/Passenger,3605944,Total crashes,82201,2279.5972427747074
Connecticut (statewide),2020,Driver/Passenger,3605944,Injury or fatal crashes,20181,559.6592736881105
Connecticut (statewide),2020,Driver/Passenger,3605944,Fatal crashes,218,6.045573641742633
Connecticut (statewide),2021,Driver/Passenger,3605944,Total crashes,99593,2761.9119986333676
Connecticut (statewide),2021,Driver/Passenger,3605944,Injury or fatal crashes,23689,656.9430917396387
Connecticut (statewide),2021,Driver/Passenger,3605944,Fatal crashes,238,6.6002134253887474
Connecticut (statewide),2022,Driver/Passenger,3605944,Total crashes,101088,2803.3713224609146
Connecticut (statewide),2022,Driver/Passenger,3605944,Injury or fatal crashes,23769,659.1616508742233
Connecticut (statewide),2022,Driver/Passenger,3605944,Fatal crashes,261,7.238049176581777
Connecticut (statewide),2023,Driver/Passenger,3605944,Total crashes,98704,2737.2582602502976
Connecticut (statewide),2023,Driver/Passenger,3605944,Injury or fatal crashes,23119,641.1358579057246
Connecticut (statewide),2023,Driver/Passenger,3605944,Fatal crashes,231,6.406089501112608
Connecticut (statewide),2024,Driver/Passenger,3605944,Total crashes,102262,2835.9286777609414
Connecticut (statewide),2024,Driver/Passenger,3605944,Injury or fatal crashes,22900,635.0625522747996
Connecticut (statewide),2024,Driver/Passenger,3605944,Fatal crashes,226,6.26742955520108
Connecticut (statewide),2025,Driver/Passenger,3605944,Total crashes,101598,2817.5146369438903
Connecticut (statewide),2025,Driver/Passenger,3605944,Injury or fatal crashes,22092,612.6551050154966
Connecticut (statewide),2025,Driver/Passenger,3605944,Fatal crashes,172,4.7699021393565735
Connecticut (statewide),2015,Pedestrian/Cyclist/Other,3605944,Total crashes,1910,52.968099338203814
Connecticut (statewide),2015,Pedestrian/Cyclist/Other,3605944,Injury or fatal crashes,1667,46.229225966903535
Connecticut (statewide),2015,Pedestrian/Cyclist/Other,3605944,Fatal crashes,50,1.386599459115283
Connecticut (statewide),2016,Pedestrian/Cyclist/Other,3605944,Total crashes,2236,62.00872781163545
Connecticut (statewide),2016,Pedestrian/Cyclist/Other,3605944,Injury or fatal crashes,1906,52.857171381474586
Connecticut (statewide),2016,Pedestrian/Cyclist/Other,3605944,Fatal crashes,74,2.052167199490619
Connecticut (statewide),2017,Pedestrian/Cyclist/Other,3605944,Total crashes,2149,59.596044752774866
Connecticut (statewide),2017,Pedestrian/Cyclist/Other,3605944,Injury or fatal crashes,1817,50.38902434424938
Connecticut (statewide),2017,Pedestrian/Cyclist/Other,3605944,Fatal crashes,57,1.5807233833914227
Connecticut (statewide),2018,Pedestrian/Cyclist/Other,3605944,Total crashes,1957,54.271502829772174
Connecticut (statewide),2018,Pedestrian/Cyclist/Other,3605944,Injury or fatal crashes,1683,46.672937793820424
Connecticut (statewide),2018,Pedestrian/Cyclist/Other,3605944,Fatal crashes,64,1.7748473076675622
Connecticut (statewide),2019,Pedestrian/Cyclist/Other,3605944,Total crashes,2100,58.237177282841884
Connecticut (statewide),2019,Pedestrian/Cyclist/Other,3605944,Injury or fatal crashes,1812,50.25036439833785
Connecticut (statewide),2019,Pedestrian/Cyclist/Other,3605944,Fatal crashes,57,1.5807233833914227
Connecticut (statewide),2020,Pedestrian/Cyclist/Other,3605944,Total crashes,1590,44.093862799866
Connecticut (statewide),2020,Pedestrian/Cyclist/Other,3605944,Injury or fatal crashes,1370,37.99282517975875
Connecticut (statewide),2020,Pedestrian/Cyclist/Other,3605944,Fatal crashes,67,1.8580432752144793
Connecticut (statewide),2021,Pedestrian/Cyclist/Other,3605944,Total crashes,1566,43.428295059490665
Connecticut (statewide),2021,Pedestrian/Cyclist/Other,3605944,Injury or fatal crashes,1380,38.270145071581815
Connecticut (statewide),2021,Pedestrian/Cyclist/Other,3605944,Fatal crashes,56,1.552991394209117
Connecticut (statewide),2022,Pedestrian/Cyclist/Other,3605944,Total crashes,1714,47.5326294584719
Connecticut (statewide),2022,Pedestrian/Cyclist/Other,3605944,Injury or fatal crashes,1532,42.48540742729227
Connecticut (statewide),2022,Pedestrian/Cyclist/Other,3605944,Fatal crashes,77,2.1353631670375357
Connecticut (statewide),2023,Pedestrian/Cyclist/Other,3605944,Total crashes,1733,48.059537252935705
Connecticut (statewide),2023,Pedestrian/Cyclist/Other,3605944,Injury or fatal crashes,1498,41.542519795093874
Connecticut (statewide),2023,Pedestrian/Cyclist/Other,3605944,Fatal crashes,59,1.636187361756034
Connecticut (statewide),2024,Pedestrian/Cyclist/Other,3605944,Total crashes,1998,55.4085143862467
