geography,year,crash_type,total_crashes,fatal_crashes,injury_or_fatal_crashes,population,total_crashes_per_100k,fatal_crashes_per_100k,injury_or_fatal_crashes_per_100k
Bridgeport,2015,Cyclist/vehicle,52,0,45,148654,34.98055888169844,0,30.271637493777497
Bridgeport,2015,Pedestrian/vehicle,119,1,112,148654,80.05166359465605,0.6727030554172777,75.3427422067351
Bridgeport,2015,Vehicle/vehicle,5364,1,1233,148654,3608.3791892582776,0.6727030554172777,829.4428673295034
Bridgeport,2016,Cyclist/vehicle,55,0,47,148654,36.998668047950275,0,31.617043604612054
Bridgeport,2016,Pedestrian/vehicle,152,6,144,148654,102.25086442342622,4.036218332503666,96.86923998008798
Bridgeport,2016,Vehicle/vehicle,6570,8,1679,148654,4419.659074091514,5.381624443338222,1129.4684300456092
Bridgeport,2017,Cyclist/vehicle,54,0,43,148654,36.325964992532995,0,28.926231382942944
Bridgeport,2017,Pedestrian/vehicle,169,7,157,148654,113.68681636551993,4.7089213879209435,105.6143797005126
Bridgeport,2017,Vehicle/vehicle,6412,3,1589,148654,4313.371991335584,2.018109166251833,1068.9251550580543
Bridgeport,2018,Cyclist/vehicle,24,0,21,148654,16.144873330014665,0,14.126764163762832
Bridgeport,2018,Pedestrian/vehicle,154,4,146,148654,103.59627053426078,2.690812221669111,98.21464609092254
Bridgeport,2018,Vehicle/vehicle,6098,7,1631,148654,4102.1432319345595,4.7089213879209435,1097.17868338558
Bridgeport,2019,Cyclist/vehicle,30,0,23,148654,20.18109166251833,0,15.472170274597389
Bridgeport,2019,Pedestrian/vehicle,155,3,143,148654,104.26897358967804,2.018109166251833,96.19653692467071
Bridgeport,2019,Vehicle/vehicle,6139,0,1642,148654,4129.724057206668,0,1104.57841699517
Bridgeport,2020,Cyclist/vehicle,17,0,13,148654,11.43595194209372,0,8.74513972042461
Bridgeport,2020,Pedestrian/vehicle,103,3,98,148654,69.2884147079796,2.018109166251833,65.92489943089322
Bridgeport,2020,Vehicle/vehicle,5075,13,1359,148654,3413.968006242684,8.74513972042461,914.2034523120803
Bridgeport,2021,Cyclist/vehicle,23,0,20,148654,15.472170274597389,0,13.454061108345554
Bridgeport,2021,Pedestrian/vehicle,97,3,88,148654,65.25219637547593,2.018109166251833,59.197868876720435
Bridgeport,2021,Vehicle/vehicle,5858,4,1595,148654,3940.694498634413,2.690812221669111,1072.961373390558
Bridgeport,2022,Cyclist/vehicle,19,0,18,148654,12.781358052928278,0,12.108654997510998
Bridgeport,2022,Pedestrian/vehicle,135,4,125,148654,90.8149124813325,2.690812221669111,84.08788192715971
Bridgeport,2022,Vehicle/vehicle,5577,7,1563,148654,3751.6649400621577,4.7089213879209435,1051.434875617205
Bridgeport,2023,Cyclist/vehicle,17,0,14,148654,11.43595194209372,0,9.417842775841887
Bridgeport,2023,Pedestrian/vehicle,111,2,102,148654,74.67003915131782,1.3454061108345554,68.61571165256233
