geography,year,group,total_crashes,fatal_crashes,fatal_pct
Bridgeport,2015,All road users,5535,2,0.03613369467028004
Bridgeport,2016,All road users,6777,14,0.20658108307510697
Bridgeport,2017,All road users,6635,10,0.15071590052750566
Bridgeport,2018,All road users,6276,11,0.1752708731676227
Bridgeport,2019,All road users,6324,3,0.04743833017077799
Bridgeport,2020,All road users,5195,16,0.30798845043310874
Bridgeport,2021,All road users,5978,7,0.117096018735363
Bridgeport,2022,All road users,5731,11,0.19193857965451055
Bridgeport,2023,All road users,5457,7,0.12827560930914422
Bridgeport,2024,All road users,5589,12,0.2147074610842727
Bridgeport,2025,All road users,5539,9,0.16248420292471566
Bridgeport,2015,Driver/Passenger,5364,1,0.018642803877703205
Bridgeport,2016,Driver/Passenger,6546,8,0.12221203788573175
Bridgeport,2017,Driver/Passenger,6394,3,0.046918986549890525
Bridgeport,2018,Driver/Passenger,6090,7,0.11494252873563218
Bridgeport,2019,Driver/Passenger,6139,0,0
Bridgeport,2020,Driver/Passenger,5075,13,0.25615763546798026
Bridgeport,2021,Driver/Passenger,5858,4,0.06828269033799932
Bridgeport,2022,Driver/Passenger,5577,7,0.12551551013089476
Bridgeport,2023,Driver/Passenger,5328,4,0.07507507507507508
Bridgeport,2024,Driver/Passenger,5413,7,0.12931830777757253
Bridgeport,2025,Driver/Passenger,5374,7,0.13025679196129514
Bridgeport,2015,Pedestrian/Cyclist/Other,171,1,0.5847953216374269
Bridgeport,2016,Pedestrian/Cyclist/Other,231,6,2.5974025974025974
Bridgeport,2017,Pedestrian/Cyclist/Other,241,7,2.904564315352697
Bridgeport,2018,Pedestrian/Cyclist/Other,186,4,2.1505376344086025
Bridgeport,2019,Pedestrian/Cyclist/Other,185,3,1.6216216216216217
Bridgeport,2020,Pedestrian/Cyclist/Other,120,3,2.5
Bridgeport,2021,Pedestrian/Cyclist/Other,120,3,2.5
Bridgeport,2022,Pedestrian/Cyclist/Other,154,4,2.5974025974025974
Bridgeport,2023,Pedestrian/Cyclist/Other,129,3,2.3255813953488373
Bridgeport,2024,Pedestrian/Cyclist/Other,176,5,2.840909090909091
Bridgeport,2025,Pedestrian/Cyclist/Other,165,2,1.2121212121212122
Connecticut (statewide),2015,All road users,111169,253,0.22758143007493098
Connecticut (statewide),2016,All road users,115935,297,0.25617803079311685
Connecticut (statewide),2017,All road users,115648,264,0.22827891532927502
Connecticut (statewide),2018,All road users,114156,281,0.24615438522723293
Connecticut (statewide),2019,All road users,112611,238,0.21134702648941936
Connecticut (statewide),2020,All road users,83791,285,0.3401319950830041
Connecticut (statewide),2021,All road users,101159,294,0.2906315799879398
Connecticut (statewide),2022,All road users,102802,338,0.3287873776774771
Connecticut (statewide),2023,All road users,100437,290,0.288738214004799
Connecticut (statewide),2024,All road users,104260,291,0.27910991751390757
Connecticut (statewide),2025,All road users,103434,232,0.22429761973819054
Connecticut (statewide),2015,Driver/Passenger,109259,203,0.18579705104384994
Connecticut (statewide),2016,Driver/Passenger,113699,223,0.19613189210107387
Connecticut (statewide),2017,Driver/Passenger,113499,207,0.18238046150186346
Connecticut (statewide),2018,Driver/Passenger,112199,217,0.19340635834543982
Connecticut (statewide),2019,Driver/Passenger,110511,181,0.1637846006279918
Connecticut (statewide),2020,Driver/Passenger,82201,218,0.2652035863310665
Connecticut (statewide),2021,Driver/Passenger,99593,238,0.23897261855752913
Connecticut (statewide),2022,Driver/Passenger,101088,261,0.2581908831908832
Connecticut (statewide),2023,Driver/Passenger,98704,231,0.2340330685686497
Connecticut (statewide),2024,Driver/Passenger,102262,226,0.22100095832273964
Connecticut (statewide),2025,Driver/Passenger,101598,172,0.16929467115494398
Connecticut (statewide),2015,Pedestrian/Cyclist/Other,1910,50,2.6178010471204187
Connecticut (statewide),2016,Pedestrian/Cyclist/Other,2236,74,3.309481216457961
Connecticut (statewide),2017,Pedestrian/Cyclist/Other,2149,57,2.652396463471382
Connecticut (statewide),2018,Pedestrian/Cyclist/Other,1957,64,3.2703117015840575
Connecticut (statewide),2019,Pedestrian/Cyclist/Other,2100,57,2.7142857142857144
Connecticut (statewide),2020,Pedestrian/Cyclist/Other,1590,67,4.213836477987421
Connecticut (statewide),2021,Pedestrian/Cyclist/Other,1566,56,3.5759897828863343
Connecticut (statewide),2022,Pedestrian/Cyclist/Other,1714,77,4.492415402567095
Connecticut (statewide),2023,Pedestrian/Cyclist/Other,1733,59,3.4045008655510673
Connecticut (statewide),2024,Pedestrian/Cyclist/Other,1998,65,3.2532532532532534
Connecticut (statewide),2025,Pedestrian/Cyclist/Other,1836,60,3.2679738562091507
Five largest cities,2015,All road users,29317,37,0.12620663778694954
Five largest cities,2016,All road users,31843,56,0.17586282699494393
Five largest cities,2017,All road users,30590,55,0.17979731938542007
Five largest cities,2018,All road users,31930,66,0.2067021609771375
Five largest cities,2019,All road users,31559,49,0.15526474222884123
Five largest cities,2020,All road users,24724,65,0.26290244297039317
Five largest cities,2021,All road users,27619,57,0.20637966617183826
Five largest cities,2022,All road users,27132,74,0.2727406752174554
Five largest cities,2023,All road users,26468,57,0.21535439020704247
Five largest cities,2024,All road users,26815,64,0.2386723848592206
Five largest cities,2025,All road users,27212,43,0.15801852124062912
Five largest cities,2015,Driver/Passenger,28557,26,0.0910459782190006
Five largest cities,2016,Driver/Passenger,30910,38,0.1229375606599806
Five largest cities,2017,Driver/Passenger,29647,36,0.12142881235875469
Five largest cities,2018,Driver/Passenger,31092,45,0.14473176379776148
Five largest cities,2019,Driver/Passenger,30618,30,0.09798157946306094
Five largest cities,2020,Driver/Passenger,24049,39,0.16216890515198137
Five largest cities,2021,Driver/Passenger,26988,37,0.13709796946791167
Five largest cities,2022,Driver/Passenger,26421,48,0.18167366867264675
Five largest cities,2023,Driver/Passenger,25776,34,0.1319056486654252
Five largest cities,2024,Driver/Passenger,25990,40,0.15390534821085033
Five largest cities,2025,Driver/Passenger,26442,28,0.10589214129037139
Five largest cities,2015,Pedestrian/Cyclist/Other,760,11,1.4473684210526316
Five largest cities,2016,Pedestrian/Cyclist/Other,933,18,1.929260450160772
Five largest cities,2017,Pedestrian/Cyclist/Other,943,19,2.014846235418876
Five largest cities,2018,Pedestrian/Cyclist/Other,838,21,2.5059665871121717
Five largest cities,2019,Pedestrian/Cyclist/Other,941,19,2.0191285866099893
Five largest cities,2020,Pedestrian/Cyclist/Other,675,26,3.851851851851852
Five largest cities,2021,Pedestrian/Cyclist/Other,631,20,3.1695721077654517
