geography,year,crash_type,deaths,population,deaths_per_100k
Bridgeport,2015,Cyclist/vehicle,0,148654,0
Bridgeport,2015,Pedestrian/vehicle,1,148654,0.6727030554172777
Bridgeport,2015,Vehicle/vehicle,1,148654,0.6727030554172777
Bridgeport,2016,Cyclist/vehicle,0,148654,0
Bridgeport,2016,Pedestrian/vehicle,6,148654,4.036218332503666
Bridgeport,2016,Vehicle/vehicle,9,148654,6.054327498755499
Bridgeport,2017,Cyclist/vehicle,0,148654,0
Bridgeport,2017,Pedestrian/vehicle,7,148654,4.7089213879209435
Bridgeport,2017,Vehicle/vehicle,3,148654,2.018109166251833
Bridgeport,2018,Cyclist/vehicle,0,148654,0
Bridgeport,2018,Pedestrian/vehicle,4,148654,2.690812221669111
Bridgeport,2018,Vehicle/vehicle,7,148654,4.7089213879209435
Bridgeport,2019,Cyclist/vehicle,0,148654,0
Bridgeport,2019,Pedestrian/vehicle,3,148654,2.018109166251833
Bridgeport,2019,Vehicle/vehicle,0,148654,0
Bridgeport,2020,Cyclist/vehicle,0,148654,0
Bridgeport,2020,Pedestrian/vehicle,3,148654,2.018109166251833
Bridgeport,2020,Vehicle/vehicle,14,148654,9.417842775841887
Bridgeport,2021,Cyclist/vehicle,0,148654,0
Bridgeport,2021,Pedestrian/vehicle,3,148654,2.018109166251833
Bridgeport,2021,Vehicle/vehicle,4,148654,2.690812221669111
Bridgeport,2022,Cyclist/vehicle,0,148654,0
Bridgeport,2022,Pedestrian/vehicle,4,148654,2.690812221669111
Bridgeport,2022,Vehicle/vehicle,8,148654,5.381624443338222
Bridgeport,2023,Cyclist/vehicle,0,148654,0
Bridgeport,2023,Pedestrian/vehicle,2,148654,1.3454061108345554
Bridgeport,2023,Vehicle/vehicle,6,148654,4.036218332503666
Bridgeport,2024,Cyclist/vehicle,0,148654,0
Bridgeport,2024,Pedestrian/vehicle,5,148654,3.3635152770863885
Bridgeport,2024,Vehicle/vehicle,10,148654,6.727030554172777
Bridgeport,2025,Cyclist/vehicle,0,148654,0
Bridgeport,2025,Pedestrian/vehicle,2,148654,1.3454061108345554
Bridgeport,2025,Vehicle/vehicle,7,148654,4.7089213879209435
Connecticut (statewide),2015,Cyclist/vehicle,3,3605944,0.08319596754691698
Connecticut (statewide),2015,Pedestrian/vehicle,47,3605944,1.303403491568366
Connecticut (statewide),2015,Vehicle/vehicle,218,3605944,6.045573641742633
Connecticut (statewide),2016,Cyclist/vehicle,7,3605944,0.19412392427613961
Connecticut (statewide),2016,Pedestrian/vehicle,67,3605944,1.8580432752144793
Connecticut (statewide),2016,Vehicle/vehicle,235,3605944,6.51701745784183
Connecticut (statewide),2017,Cyclist/vehicle,3,3605944,0.08319596754691698
Connecticut (statewide),2017,Pedestrian/vehicle,54,3605944,1.4975274158445055
Connecticut (statewide),2017,Vehicle/vehicle,224,3605944,6.211965576836468
Connecticut (statewide),2018,Cyclist/vehicle,1,3605944,0.02773198918230566
Connecticut (statewide),2018,Pedestrian/vehicle,65,3605944,1.802579296849868
Connecticut (statewide),2018,Vehicle/vehicle,233,3605944,6.461553479477219
Connecticut (statewide),2019,Cyclist/vehicle,3,3605944,0.08319596754691698
Connecticut (statewide),2019,Pedestrian/vehicle,56,3605944,1.552991394209117
Connecticut (statewide),2019,Vehicle/vehicle,197,3605944,5.463201868914215
Connecticut (statewide),2020,Cyclist/vehicle,6,3605944,0.16639193509383396
Connecticut (statewide),2020,Pedestrian/vehicle,62,3605944,1.7193833293029508
Connecticut (statewide),2020,Vehicle/vehicle,231,3605944,6.406089501112608
Connecticut (statewide),2021,Cyclist/vehicle,3,3605944,0.08319596754691698
Connecticut (statewide),2021,Pedestrian/vehicle,56,3605944,1.552991394209117
Connecticut (statewide),2021,Vehicle/vehicle,248,3605944,6.877533317211803
Connecticut (statewide),2022,Cyclist/vehicle,4,3605944,0.11092795672922263
Connecticut (statewide),2022,Pedestrian/vehicle,76,3605944,2.10763117785523
Connecticut (statewide),2022,Vehicle/vehicle,293,3605944,8.125472830415559
Connecticut (statewide),2023,Cyclist/vehicle,4,3605944,0.11092795672922263
