geography,year,group,deaths,population,deaths_per_100k
Bridgeport,2015,All road users,2,148654,1.3454061108345554
Bridgeport,2015,Driver/Passenger,1,148654,0.6727030554172777
Bridgeport,2015,Pedestrian/Cyclist/Other,1,148654,0.6727030554172777
Bridgeport,2016,All road users,15,148654,10.090545831259165
Bridgeport,2016,Driver/Passenger,9,148654,6.054327498755499
Bridgeport,2016,Pedestrian/Cyclist/Other,6,148654,4.036218332503666
Bridgeport,2017,All road users,10,148654,6.727030554172777
Bridgeport,2017,Driver/Passenger,4,148654,2.690812221669111
Bridgeport,2017,Pedestrian/Cyclist/Other,6,148654,4.036218332503666
Bridgeport,2018,All road users,11,148654,7.399733609590054
Bridgeport,2018,Driver/Passenger,7,148654,4.7089213879209435
Bridgeport,2018,Pedestrian/Cyclist/Other,4,148654,2.690812221669111
Bridgeport,2019,All road users,3,148654,2.018109166251833
Bridgeport,2019,Driver/Passenger,0,148654,0
Bridgeport,2019,Pedestrian/Cyclist/Other,3,148654,2.018109166251833
Bridgeport,2020,All road users,17,148654,11.43595194209372
Bridgeport,2020,Driver/Passenger,14,148654,9.417842775841887
Bridgeport,2020,Pedestrian/Cyclist/Other,3,148654,2.018109166251833
Bridgeport,2021,All road users,7,148654,4.7089213879209435
Bridgeport,2021,Driver/Passenger,5,148654,3.3635152770863885
Bridgeport,2021,Pedestrian/Cyclist/Other,2,148654,1.3454061108345554
Bridgeport,2022,All road users,12,148654,8.072436665007332
Bridgeport,2022,Driver/Passenger,8,148654,5.381624443338222
Bridgeport,2022,Pedestrian/Cyclist/Other,4,148654,2.690812221669111
Bridgeport,2023,All road users,8,148654,5.381624443338222
Bridgeport,2023,Driver/Passenger,6,148654,4.036218332503666
Bridgeport,2023,Pedestrian/Cyclist/Other,2,148654,1.3454061108345554
Bridgeport,2024,All road users,15,148654,10.090545831259165
Bridgeport,2024,Driver/Passenger,9,148654,6.054327498755499
Bridgeport,2024,Pedestrian/Cyclist/Other,5,148654,3.3635152770863885
Bridgeport,2025,All road users,9,148654,6.054327498755499
Bridgeport,2025,Driver/Passenger,7,148654,4.7089213879209435
Bridgeport,2025,Pedestrian/Cyclist/Other,2,148654,1.3454061108345554
Connecticut (statewide),2015,All road users,268,3605944,7.432173100857917
Connecticut (statewide),2015,Driver/Passenger,219,3605944,6.073305630924939
Connecticut (statewide),2015,Pedestrian/Cyclist/Other,49,3605944,1.3588674699329772
Connecticut (statewide),2016,All road users,309,3605944,8.56918465733245
Connecticut (statewide),2016,Driver/Passenger,234,3605944,6.489285468659525
Connecticut (statewide),2016,Pedestrian/Cyclist/Other,74,3605944,2.052167199490619
Connecticut (statewide),2017,All road users,281,3605944,7.79268896022789
Connecticut (statewide),2017,Driver/Passenger,227,3605944,6.295161544383385
Connecticut (statewide),2017,Pedestrian/Cyclist/Other,54,3605944,1.4975274158445055
Connecticut (statewide),2018,All road users,299,3605944,8.291864765509393
Connecticut (statewide),2018,Driver/Passenger,235,3605944,6.51701745784183
Connecticut (statewide),2018,Pedestrian/Cyclist/Other,64,3605944,1.7748473076675622
Connecticut (statewide),2019,All road users,256,3605944,7.099389230670249
Connecticut (statewide),2019,Driver/Passenger,197,3605944,5.463201868914215
Connecticut (statewide),2019,Pedestrian/Cyclist/Other,59,3605944,1.636187361756034
Connecticut (statewide),2020,All road users,299,3605944,8.291864765509393
Connecticut (statewide),2020,Driver/Passenger,231,3605944,6.406089501112608
Connecticut (statewide),2020,Pedestrian/Cyclist/Other,68,3605944,1.885775264396785
Connecticut (statewide),2021,All road users,307,3605944,8.513720678967838
Connecticut (statewide),2021,Driver/Passenger,249,3605944,6.905265306394109
