geography,year,mode,total_crashes,fatal_crashes,injury_or_fatal_crashes,dataset,population,crashes_per_100k,fatal_injury_per_100k,pct_fatal,pct_fatal_or_injury
Connecticut (statewide),2010,Cars,99614,245,23905,ConnDOT,3605944,2762.494370406196,662.9332014030167,0.245949364547152,23.997630855100688
Connecticut (statewide),2010,Pedestrians,1273,47,1183,ConnDOT,3605944,35.302822229075105,32.8069432026676,3.6920659858601725,92.930086410055
Connecticut (statewide),2010,Bicyclists,734,7,602,ConnDOT,3605944,20.355280059812355,16.694657487748007,0.9536784741144414,82.01634877384197
Connecticut (statewide),2011,Cars,76720,175,23027,ConnDOT,3605944,2127.59821006649,638.5845149009525,0.22810218978102187,30.014337851929092
Connecticut (statewide),2011,Pedestrians,1093,26,1054,ConnDOT,3605944,30.311064176260086,29.229516598150163,2.3787740164684354,96.43183897529735
Connecticut (statewide),2011,Bicyclists,622,8,563,ConnDOT,3605944,17.24929727139412,15.613109909638087,1.2861736334405145,90.5144694533762
Connecticut (statewide),2012,Cars,93633,196,22311,ConnDOT,3605944,2596.6293431068257,618.7284106464216,0.20932790789572053,23.828137515619492
Connecticut (statewide),2012,Pedestrians,1142,45,1061,ConnDOT,3605944,31.669931646193064,29.423640522426307,3.940455341506129,92.90718038528897
Connecticut (statewide),2012,Bicyclists,677,4,548,ConnDOT,3605944,18.774556676420932,15.197130071903503,0.5908419497784343,80.94534711964549
Connecticut (statewide),2013,Cars,94135,226,22018,ConnDOT,3605944,2610.5508016763433,610.602937816006,0.24008073511446326,23.3898125033197
Connecticut (statewide),2013,Pedestrians,1086,36,1001,ConnDOT,3605944,30.116940251983944,27.759721171487964,3.314917127071823,92.1731123388582
Connecticut (statewide),2013,Bicyclists,605,3,495,ConnDOT,3605944,16.777853455294924,13.727334645241303,0.49586776859504134,81.81818181818183
Connecticut (statewide),2014,Cars,94803,183,21489,ConnDOT,3605944,2629.0757704501234,595.9327155385663,0.19303186608018733,22.667004208727572
Connecticut (statewide),2014,Pedestrians,1127,47,1022,ConnDOT,3605944,31.25395180845848,28.342092944316388,4.17036379769299,90.6832298136646
Connecticut (statewide),2014,Bicyclists,644,4,519,ConnDOT,3605944,17.859401033404843,14.392902385616637,0.6211180124223602,80.59006211180125
Connecticut (statewide),2015,Cars,109262,203,24408,MMUCC,3605944,3030.052602037081,676.8823919617165,0.18579194962567042,22.33896505646977
Connecticut (statewide),2015,Pedestrians,1367,47,1221,MMUCC,3605944,37.90962921221184,33.86075879159521,3.4381858083394294,89.31967812728602
Connecticut (statewide),2015,Bicyclists,540,3,446,MMUCC,3605944,14.975274158445057,12.368467175308325,0.5555555555555556,82.5925925925926
Connecticut (statewide),2016,Cars,113771,223,26143,MMUCC,3605944,3155.096141260097,724.9973931930168,0.19600776999411096,22.978614937022616
Connecticut (statewide),2016,Pedestrians,1598,67,1446,MMUCC,3605944,44.31571871332444,40.100456357613986,4.192740926157698,90.4881101376721
